sentence,sentiment
So there is no way for me to plug it in here in the US unless I go by a converter.,negative
"Good case, Excellent value.",positive
Great for the jawbone.,positive
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative
The mic is great.,positive
I have to jiggle the plug to get it to line up right to get decent volume.,negative
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",negative
If you are Razr owner...you must have this!,positive
"Needless to say, I wasted my money.",negative
What a waste of money and time!.,negative
And the sound quality is great.,positive
He was very impressed when going from the original battery to the extended battery.,positive
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative
Very good quality though,positive
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",negative
Highly recommend for any one who has a blue tooth phone.,positive
I advise EVERYONE DO NOT BE FOOLED!,negative
So Far So Good!.,positive
Works great!.,positive
It clicks into place in a way that makes you wonder how long that mechanism would last.,negative
"I went on Motorola's website and followed all directions, but could not get it to pair again.",negative
I bought this to use with my Kindle Fire and absolutely loved it!,positive
The commercials are the most misleading.,negative
I have yet to run this new battery below two bars and that's three days without charging.,positive
I bought it for my mother and she had a problem with the battery.,negative
Great Pocket PC / phone combination.,positive
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,positive
I didn't think that the instructions provided were helpful to me.,negative
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative
Doesn't hold charge.,negative
"This is a simple little phone to use, but the breakage is unacceptible.",negative
This product is ideal for people like me whose ears are very sensitive.,positive
It is unusable in a moving car at freeway speed.,negative
I have two more years left in this contract and I hate this phone.,negative
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,positive
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,negative
It has kept up very well.,positive
Poor Talk Time Performance.,negative
The case is great and works fine with the 680.,positive
worthless product.,negative
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",positive
I was not impressed by this product.,negative
Nice headset priced right.,positive
I only hear garbage for audio.,negative
Excellent bluetooth headset.,positive
It has all the features I want,positive
Who in their right mind is gonna buy this battery?.,negative
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,negative
This case seems well made.,positive
Disappointed with battery.,negative
Not loud enough and doesn't turn on like it should.,negative
good protection and does not make phone too bulky.,positive
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,positive
This phone is pretty sturdy and I've never had any large problems with it.,positive
I love this thing!,positive
Everything about it is fine and reasonable for the price i.e.,positive
VERY DISAPPOINTED.,negative
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,positive
The buttons for on and off are bad.,negative
Essentially you can forget Microsoft's tech support.,negative
"I really recommend this faceplates since it looks very nice, elegant and cool.",positive
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,positive
Buy a different phone - but not this.,negative
You have to hold the phone at a particular angle for the other party to hear you clearly.,negative
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,negative
"A week later after I activated it, it suddenly died.",negative
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive
Great for iPODs too.,positive
